,Position,Rider,Born,Team,Total time,FC points,race
50,51,Ilnur Zakarin,1989,Gazprom-RusVelo,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
51,52,Sebastien Reichenbach,1989,Groupama-FDJ,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
52,53,Richie Porte,1985,INEOS Grenadiers,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
53,54,Harm Vanhoucke,1997,Lotto Soudal,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
54,55,Hugh Carthy,1994,EF Education-NIPPO,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
55,56,Mikel Iturria,1992,Euskaltel-Euskadi,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
56,57,Simon Yates,1992,Team BikeExchange,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
57,58,Rigoberto Uran,1987,EF Education-NIPPO,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
58,59,Roman Kreuziger,1986,Gazprom-RusVelo,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
59,60,Jaime Castrillo,1996,Kern Pharma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
60,61,Koen Bouwman,1993,Jumbo-Visma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
61,62,Michael Storer,1997,Team DSM,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
62,63,Roger Adriá,1998,Kern Pharma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
63,64,Lucas Hamilton,1996,Team BikeExchange,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
64,65,Santiago Buitrago,1999,Bahrain Victorious,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
65,66,Sepp Kuss,1994,Jumbo-Visma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
66,67,David De La Cruz,1989,UAE Team Emirates,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
67,68,Gianluca Brambilla,1987,Trek-Segafredo,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
68,69,Daniel Alejandro Mendez,2000,Kern Pharma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
69,70,Jose Herrada,1985,Cofidis,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
70,71,Juan Pedro Lopez,1997,Trek-Segafredo,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
71,72,Jonathan Caicedo,1993,EF Education-NIPPO,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
72,73,Chris Harper,1994,Jumbo-Visma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
73,74,Tanel Kangert,1987,Team BikeExchange,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
74,75,George Bennett,1990,Jumbo-Visma,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
75,76,Mikel Bizkarra,1989,Euskaltel-Euskadi,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
76,77,Chad Haga,1988,Team DSM,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
77,78,Jonathan Castroviejo,1987,INEOS Grenadiers,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
78,79,Kenny Elissonde,1991,Trek-Segafredo,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
79,80,Marc Soler,1993,Movistar Team,+ 16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
80,81,Stephen Williams,1996,Bahrain Victorious,+ 34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
81,82,Brent Bookwalter,1984,Team BikeExchange,+ 01:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
82,83,Rohan Dennis,1990,INEOS Grenadiers,+ 02:16,,Volta Catalunya - 2021 stage 01 : Calella - Calella
83,84,Urko Berrade,1997,Kern Pharma,+ 02:51,,Volta Catalunya - 2021 stage 01 : Calella - Calella
84,85,Rob Britton,1984,Rally Cycling,+ 05:35,,Volta Catalunya - 2021 stage 01 : Calella - Calella
85,86,Thomas De Gendt,1986,Lotto Soudal,+ 05:35,,Volta Catalunya - 2021 stage 01 : Calella - Calella
86,87,Matis Louvel,1999,Arkéa-Samsic,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
87,88,Simon Guglielmi,1997,Groupama-FDJ,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
88,89,Jérémy Bellicaud,1998,Intermarché-Wanty-Gobert,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
89,90,Ben Zwiehoff,1994,BORA-hansgrohe,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
90,91,Merhawi Kudus,1994,Astana-Premier Tech,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
91,92,Joey Rosskopf,1989,Rally Cycling,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
92,93,Lukasz Owsian,1990,Arkéa-Samsic,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
93,94,Louis Meintjes,1992,Intermarché-Wanty-Gobert,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
94,95,Joe Dombrowski,1991,UAE Team Emirates,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
95,96,Chris Froome,1985,Israel Start-Up Nation,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
96,97,Clément Venturini,1993,AG2R Citroën Team,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
97,98,Thomas Champion,1999,Cofidis,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
98,99,François Bidard,1992,AG2R Citroën Team,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
99,100,Colin Joyce,1994,Rally Cycling,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
100,101,Dario Cataldo,1985,Movistar Team,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
101,102,Gavin Mannion,1991,Rally Cycling,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
102,103,Sean Bennett,1996,Qhubeka ASSOS,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
103,104,Attila Valter,1998,Groupama-FDJ,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
104,105,Martí  Márquez,1996,Kern Pharma,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
105,106,Domen Novak,1995,Bahrain Victorious,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
106,107,Hermann Pernsteiner,1990,Bahrain Victorious,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
107,108,Andres Ardila,1999,UAE Team Emirates,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
108,109,Sebastian Molano,1994,UAE Team Emirates,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
109,110,Tejay Van Garderen,1988,EF Education-NIPPO,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
110,111,Bob Jungels,1992,AG2R Citroën Team,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
111,112,Nathan Brown,1991,Rally Cycling,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
112,113,Peter Sagan,1990,BORA-hansgrohe,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
113,114,Dries Devenyns,1983,Deceuninck-Quick Step,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
114,115,Rein Taaramäe,1987,Intermarché-Wanty-Gobert,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
115,116,Antonio Pedrero,1991,Movistar Team,+ 08:30,,Volta Catalunya - 2021 stage 01 : Calella - Calella
116,117,Michel Ries,1998,Trek-Segafredo,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
117,118,Natnael Berhane,1991,Cofidis,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
118,119,Sergio Samitier,1995,Movistar Team,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
119,120,Reto Hollenstein,1985,Israel Start-Up Nation,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
120,121,Luis Angel Mate,1984,Euskaltel-Euskadi,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
121,122,Sylvain Moniquet,1998,Lotto Soudal,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
122,123,Antonio Soto,1994,Euskaltel-Euskadi,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
123,124,Matteo Badilatti,1992,Groupama-FDJ,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
124,125,Juan Jose Lobato,1988,Euskaltel-Euskadi,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
125,126,Alexander Cataford,1993,Israel Start-Up Nation,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
126,127,Savva Novikov,1999,Kern Pharma,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
127,128,Reinardt Janse Van Rensburg,1989,Qhubeka ASSOS,+ 11:08,,Volta Catalunya - 2021 stage 01 : Calella - Calella
128,129,Tomasz Marczynski,1984,Lotto Soudal,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
129,130,Max Kanter,1997,Team DSM,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
130,131,Gotzon Martin,1996,Euskaltel-Euskadi,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
131,132,Omer Goldstein,1996,Israel Start-Up Nation,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
132,133,Denis Nekrasov,1997,Gazprom-RusVelo,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
133,134,Remi Cavagna,1995,Deceuninck-Quick Step,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
134,135,Thymen Arensman,1999,Team DSM,+ 13:04,,Volta Catalunya - 2021 stage 01 : Calella - Calella
135,136,Sander Armee,1985,Qhubeka ASSOS,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
136,137,Fernando Barceló,1996,Cofidis,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
137,138,Kilian Frankiny,1994,Qhubeka ASSOS,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
138,139,Nickolas Zukowsky,1998,Rally Cycling,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
139,140,Jordi Meeus,1998,BORA-hansgrohe,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
140,141,Matthieu Ladagnous,1984,Groupama-FDJ,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
141,142,Antoine Duchesne,1991,Groupama-FDJ,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
142,143,Ben Gastauer,1987,AG2R Citroën Team,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
143,144,William Bonnet,1982,Groupama-FDJ,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
144,145,Laurent Pichon,1986,Arkéa-Samsic,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
145,146,Benjamin King,1989,Rally Cycling,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
146,147,Sergey Chernetskiy,1990,Gazprom-RusVelo,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
147,148,Vadim Pronskiy,1998,Astana-Premier Tech,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
148,149,Diego Camargo,1998,EF Education-NIPPO,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
149,150,Jaakko Hänninen,1997,AG2R Citroën Team,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
150,151,Pavel Kochetkov,1986,Gazprom-RusVelo,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
151,152,Josef Cerný,1993,Deceuninck-Quick Step,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
152,153,Dmitriy Strakhov,1995,Gazprom-RusVelo,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
153,154,Artem Nych,1995,Gazprom-RusVelo,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
154,155,Wout Poels,1987,Bahrain Victorious,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
155,156,Jonas Gregaard,1996,Astana-Premier Tech,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
156,157,Tony Gallopin,1988,AG2R Citroën Team,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
157,158,Luke Rowe,1990,INEOS Grenadiers,+ 14:34,,Volta Catalunya - 2021 stage 01 : Calella - Calella
158,159,Alan Riou,1997,Arkéa-Samsic,+ 19:42,,Volta Catalunya - 2021 stage 01 : Calella - Calella
159,160,Frederik Wandahl,2001,BORA-hansgrohe,+ 19:42,,Volta Catalunya - 2021 stage 01 : Calella - Calella
160,161,Connor Brown,1998,Qhubeka ASSOS,+ 20:18,,Volta Catalunya - 2021 stage 01 : Calella - Calella
161,162,Alexander Evans,1997,Intermarché-Wanty-Gobert,+ 21:02,,Volta Catalunya - 2021 stage 01 : Calella - Calella
162,163,Jan Hirt,1991,Intermarché-Wanty-Gobert,+ 21:02,,Volta Catalunya - 2021 stage 01 : Calella - Calella
163,164,Jan Bakelants,1986,Intermarché-Wanty-Gobert,+ 23:17,,Volta Catalunya - 2021 stage 01 : Calella - Calella
164,165,Karel Vacek,2000,Qhubeka ASSOS,+ 23:17,,Volta Catalunya - 2021 stage 01 : Calella - Calella
165,DNF,Pieter Serry,1988,Deceuninck-Quick Step,,,Volta Catalunya - 2021 stage 01 : Calella - Calella
166,DNF,Rui Costa,1986,UAE Team Emirates,,,Volta Catalunya - 2021 stage 01 : Calella - Calella
0,01,Sam Bennett,1990,Deceuninck-Quick Step,4:27:40,300,Oxyclean Classic Brugge-De Panne - 2021
1,02,Jasper Philipsen,1998,Alpecin-Fenix,+ 00,250,Oxyclean Classic Brugge-De Panne - 2021
2,03,Pascal Ackermann,1994,BORA-hansgrohe,+ 00,215,Oxyclean Classic Brugge-De Panne - 2021
3,04,Giacomo Nizzolo,1989,Qhubeka ASSOS,+ 00,175,Oxyclean Classic Brugge-De Panne - 2021
4,05,Timothy Dupont,1987,Bingoal-WB,+ 00,120,Oxyclean Classic Brugge-De Panne - 2021
5,06,Hugo Hofstetter,1994,Israel Start-Up Nation,+ 00,115,Oxyclean Classic Brugge-De Panne - 2021
6,07,Cees Bol,1995,Team DSM,+ 00,95,Oxyclean Classic Brugge-De Panne - 2021
7,08,Michael Mørkøv,1985,Deceuninck-Quick Step,+ 00,75,Oxyclean Classic Brugge-De Panne - 2021
8,09,Elia Viviani,1989,Cofidis,+ 00,60,Oxyclean Classic Brugge-De Panne - 2021
9,10,Stanislaw Aniolkowski,1997,Bingoal-WB,+ 00,50,Oxyclean Classic Brugge-De Panne - 2021
10,11,Clément Russo,1995,Arkéa-Samsic,+ 00,40,Oxyclean Classic Brugge-De Panne - 2021
11,12,Lorrenzo Manzin,1994,Total Direct Energie,+ 00,35,Oxyclean Classic Brugge-De Panne - 2021
12,13,Jérémy Lecroq,1995,B&B Hotels p/b KTM,+ 00,30,Oxyclean Classic Brugge-De Panne - 2021
13,14,Fernando Gaviria,1994,UAE Team Emirates,+ 00,25,Oxyclean Classic Brugge-De Panne - 2021
14,15,Florian Vermeersch,1999,Lotto Soudal,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
15,16,Sonny Colbrelli,1990,Bahrain Victorious,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
16,17,Daniel McLay,1992,Arkéa-Samsic,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
17,18,Kristoffer Halvorsen,1996,Uno-X Pro Cycling Team,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
18,19,Matteo Moschetti,1996,Trek-Segafredo,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
19,20,Gijs Van Hoecke,1991,AG2R Citroën Team,+ 00,20,Oxyclean Classic Brugge-De Panne - 2021
20,21,Arne Marit,1999,Sport Vlaanderen-Baloise,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
21,22,Yevgeniy Gidich,1996,Astana-Premier Tech,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
22,23,Rick Zabel,1993,Israel Start-Up Nation,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
23,24,Alexander Konychev,1998,Team BikeExchange,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
24,25,Lawrence Naesen,1992,AG2R Citroën Team,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
25,26,Max Walscheid,1993,Qhubeka ASSOS,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
26,27,David Dekker,1998,Jumbo-Visma,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
27,28,Bert Van Lerberghe,1992,Deceuninck-Quick Step,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
28,29,Arnaud Démare,1991,Groupama-FDJ,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
29,30,Martin Laas,1993,BORA-hansgrohe,+ 00,12,Oxyclean Classic Brugge-De Panne - 2021
30,31,Jordi Warlop,1996,Sport Vlaanderen-Baloise,+ 00,5,Oxyclean Classic Brugge-De Panne - 2021
31,32,Luka Mezgec,1988,Team BikeExchange,+ 00,5,Oxyclean Classic Brugge-De Panne - 2021
32,33,Jonas Rickaert,1994,Alpecin-Fenix,+ 10,5,Oxyclean Classic Brugge-De Panne - 2021
33,34,Mikkel Bjerg,1998,UAE Team Emirates,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
34,35,Edward Theuns,1991,Trek-Segafredo,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
35,36,Artyom Zakharov,1991,Astana-Premier Tech,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
36,37,Ryan Gibbons,1994,UAE Team Emirates,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
37,38,Anthony Jullien,1998,AG2R Citroën Team,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
38,39,Gabriel Cullaigh,1996,Movistar Team,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
39,40,Simone Consonni,1994,Cofidis,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
40,41,Juraj Sagan,1988,BORA-hansgrohe,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
41,42,Jan Petelin,1996,Vini Zabú,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
42,43,Marc Sarreau,1993,AG2R Citroën Team,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
43,44,Yevgeniy Fedorov,2000,Astana-Premier Tech,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
44,45,Niklas Märkl,1999,Team DSM,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
45,46,Lluis Mas,1989,Movistar Team,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
46,47,Julien Duval,1990,AG2R Citroën Team,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
47,48,Tom Van Asbroeck,1990,Israel Start-Up Nation,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
48,49,Lionel Taminiaux,1996,Alpecin-Fenix,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
49,50,Dries van Gestel,1994,Total Direct Energie,+ 12,5,Oxyclean Classic Brugge-De Panne - 2021
50,51,Jack Bauer,1985,Team BikeExchange,+ 12,2,Oxyclean Classic Brugge-De Panne - 2021
51,52,Emils Liepins,1992,Trek-Segafredo,+ 12,2,Oxyclean Classic Brugge-De Panne - 2021
52,53,Gonzalo Serrano,1994,Movistar Team,+ 12,2,Oxyclean Classic Brugge-De Panne - 2021
53,54,Roberto Gonzalez,1994,Vini Zabú,+ 12,2,Oxyclean Classic Brugge-De Panne - 2021
54,55,Rüdiger Selig,1989,BORA-hansgrohe,+ 18,2,Oxyclean Classic Brugge-De Panne - 2021
55,56,Jens Debusschere,1989,B&B Hotels p/b KTM,+ 18,1,Oxyclean Classic Brugge-De Panne - 2021
56,57,Donavan Grondin,2000,Arkéa-Samsic,+ 19,1,Oxyclean Classic Brugge-De Panne - 2021
57,58,Jens Reynders,1998,Sport Vlaanderen-Baloise,+ 19,1,Oxyclean Classic Brugge-De Panne - 2021
58,59,Jenthe Biermans,1995,Israel Start-Up Nation,+ 19,1,Oxyclean Classic Brugge-De Panne - 2021
59,60,Ben Perry,1994,Astana-Premier Tech,+ 19,1,Oxyclean Classic Brugge-De Panne - 2021
60,61,Juri Hollmann,1999,Movistar Team,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
61,62,Imanol Erviti,1983,Movistar Team,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
62,63,Danny van Poppel,1993,Intermarché-Wanty-Gobert,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
63,64,Alberto Dainese,1998,Team DSM,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
64,65,Stefano Oldani,1998,Lotto Soudal,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
65,66,Connor Swift,1995,Arkéa-Samsic,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
66,67,Johan Jacobs,1997,Movistar Team,+ 19,,Oxyclean Classic Brugge-De Panne - 2021
67,68,Damien Touzé,1996,AG2R Citroën Team,+ 23,,Oxyclean Classic Brugge-De Panne - 2021
68,69,Norman Vahtra,1996,Israel Start-Up Nation,+ 23,,Oxyclean Classic Brugge-De Panne - 2021
69,70,Jacopo Guarnieri,1987,Groupama-FDJ,+ 24,,Oxyclean Classic Brugge-De Panne - 2021
70,71,Ramon Sinkeldam,1989,Groupama-FDJ,+ 26,,Oxyclean Classic Brugge-De Panne - 2021
71,72,Florian Sénéchal,1993,Deceuninck-Quick Step,+ 27,,Oxyclean Classic Brugge-De Panne - 2021
72,73,Alexis Renard,1999,Israel Start-Up Nation,+ 29,,Oxyclean Classic Brugge-De Panne - 2021
73,74,Olav Kooij,2001,Jumbo-Visma,+ 29,,Oxyclean Classic Brugge-De Panne - 2021
74,75,Boy van Poppel,1988,Intermarché-Wanty-Gobert,+ 34,,Oxyclean Classic Brugge-De Panne - 2021
75,76,Fabio Sabatini,1985,Cofidis,+ 34,,Oxyclean Classic Brugge-De Panne - 2021
76,77,Kenneth Vanbilsen,1990,Cofidis,+ 34,,Oxyclean Classic Brugge-De Panne - 2021
77,78,Tosh Van der Sande,1990,Lotto Soudal,+ 34,,Oxyclean Classic Brugge-De Panne - 2021
78,79,Riccardo Minali,1995,Intermarché-Wanty-Gobert,+ 34,,Oxyclean Classic Brugge-De Panne - 2021
79,80,Etienne Van Empel,1994,Vini Zabú,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
80,81,Benjamin Declercq,1994,Arkéa-Samsic,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
81,82,Ryan Mullen,1994,Trek-Segafredo,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
82,83,Marcel Sieberg,1982,Bahrain Victorious,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
83,84,Ruben Apers,1998,Sport Vlaanderen-Baloise,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
84,85,Leonardo Tortomasi,1994,Vini Zabú,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
85,86,Koen De Kort,1982,Trek-Segafredo,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
86,87,Michael Schwarzmann,1991,BORA-hansgrohe,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
87,88,Davide Martinelli,1993,Astana-Premier Tech,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
88,89,Ludwig De Winter,1992,Intermarché-Wanty-Gobert,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
89,90,Rasmus Tiller,1996,Uno-X Pro Cycling Team,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
90,91,Erik Resell,1996,Uno-X Pro Cycling Team,+ 44,,Oxyclean Classic Brugge-De Panne - 2021
91,92,Bert-Jan Lindeman,1989,Qhubeka ASSOS,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
92,93,Matteo Pelucchi,1989,Qhubeka ASSOS,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
93,94,Barnabas Peak,1998,Team BikeExchange,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
94,95,Laurenz Rex,1999,Bingoal-WB,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
95,96,Kevin Van Melsen,1987,Intermarché-Wanty-Gobert,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
96,97,Jonas Castrique,1997,Bingoal-WB,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
97,98,Maximiliano Richeze,1983,UAE Team Emirates,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
98,99,Christoph Pfingsten,1987,Jumbo-Visma,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
99,100,Vegard Stake Laengen,1989,UAE Team Emirates,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
100,101,Tom Bohli,1994,Cofidis,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
101,102,Alex Edmondson,1993,Team BikeExchange,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
102,103,Jonathan Milan,2000,Bahrain Victorious,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
103,104,Sasha Weemaes,1998,Sport Vlaanderen-Baloise,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
104,105,Joab Schneiter,1998,Vini Zabú,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
105,106,Piet Allegaert,1995,Cofidis,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
106,107,Pieter Vanspeybrouck,1987,Intermarché-Wanty-Gobert,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
107,108,Fabian Lienhard,1993,Groupama-FDJ,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
108,109,Brent Van Moer,1998,Lotto Soudal,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
109,110,Sébastien Grignard,1999,Lotto Soudal,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
110,111,Andreas Stokbro,1997,Qhubeka ASSOS,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
111,112,Lasse Norman Hansen,1992,Qhubeka ASSOS,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
112,113,Jos Van Emden,1985,Jumbo-Visma,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
113,114,Marco Haller,1991,Bahrain Victorious,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
114,115,André Greipel,1982,Israel Start-Up Nation,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
115,116,Alvaro Hodeg,1996,Deceuninck-Quick Step,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
116,117,Nicola Bagioli,1995,B&B Hotels p/b KTM,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
117,118,Bert De Backer,1984,B&B Hotels p/b KTM,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
118,119,Nathan Van Hooydonck,1995,Jumbo-Visma,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
119,120,Maarten Wynants,1982,Jumbo-Visma,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
