Lopez, Juan Pedro 
Mollema, Bauke  
Mosca, Jacopo  
Moschetti, Matteo  
Mullen, Ryan  
Nibali, Antonio  
Nibali, Vincenzo  
Pedersen, Mads  
Porte, Richie  
Quarterman, Charlie  
Reijnen, Kiel  
Ries, Michel  
Simmons, Quinn  
Skjelmose Jensen, Mattias 
Skujins, Toms  
Stuyven, Jasper  
Theuns, Edward  
Tiberi, Antonio  
Weening, Pieter  
Ardila, Andres  
Aru, Fabio  
Bjerg, Mikkel  
Bohli, Tom  
Bystrøm, Sven Erik 
Conti, Valerio  
Costa, Rui  
Covi, Alessandro  
De La Cruz, David
Dombrowski, Joe  
Formolo, Davide  
Gaviria, Fernando  
Henao, Sergio  
Kristoff, Alexander  
Laengen, Vegard Stake 
Marcato, Marco  
McNulty, Brandon  
Mirza, Yousef  
Molano, Sebastian  
Munoz, Cristian  
Oliveira, Ivo  
Oliveira, Rui  
Philipsen, Jasper  
Pogacar, Tadej  
Polanc, Jan  
Ravasi, Edward  
Riabushenko, Alexandr  
Richeze, Maximiliano  
Troia, Oliviero  
Ulissi, Diego  
